City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Turka,UA,49.1541,23.0297,60.15,90,56,1.86,broken clouds
217,Fairbanks,US,64.8378,-147.7164,39.6,92,100,6.91,light rain
218,Lysyanka,UA,49.2523,30.8295,58.03,75,23,7.02,few clouds
219,Cabedelo,BR,-6.9811,-34.8339,77.67,83,14,8.9,few clouds
220,Salalah,OM,17.0151,54.0924,95.09,8,3,8.05,clear sky
221,Santa Rosa,PH,14.3122,121.1114,95.11,61,32,5.93,scattered clouds
222,Lompoc,US,34.6391,-120.4579,57.94,77,0,23.0,clear sky
223,Georgetown,MY,5.4112,100.3354,91.33,70,20,5.75,few clouds
224,Buala,SB,-8.145,159.5921,83.86,70,81,3.09,broken clouds
225,Araouane,ML,18.9048,-3.5265,79.65,11,28,12.88,scattered clouds
226,Borogontsy,RU,62.6683,131.1683,53.67,44,100,4.18,overcast clouds
227,Breytovo,RU,58.2993,37.8617,47.59,75,71,18.3,broken clouds
228,Faya,SA,18.3851,42.4509,69.91,19,3,4.14,clear sky
229,Fort-Shevchenko,KZ,44.5086,50.263,61.63,66,30,12.35,scattered clouds
230,Mount Gambier,AU,-37.8333,140.7667,67.69,60,84,5.59,broken clouds
231,Arlit,NE,18.7369,7.3853,81.61,15,0,7.14,clear sky
232,Tiksi,RU,71.6872,128.8694,22.48,77,97,13.04,overcast clouds
233,Suntar,RU,62.1444,117.6319,49.53,61,97,10.25,overcast clouds
234,Upernavik,GL,72.7868,-56.1549,4.28,91,53,4.92,broken clouds
235,Mangai,CD,-4.05,19.5333,70.32,98,55,1.23,broken clouds
236,Norman Wells,CA,65.282,-126.8329,55.44,35,75,2.3,broken clouds
237,Souillac,MU,-20.5167,57.5167,75.58,78,20,6.91,few clouds
238,Egvekinot,RU,66.3167,-179.1667,27.39,91,57,4.12,broken clouds
239,Goundam,ML,16.4145,-3.6708,81.95,10,60,10.38,broken clouds
240,Port Macquarie,AU,-31.4333,152.9167,73.89,94,75,11.5,broken clouds
241,Queimadas,BR,-10.9783,-39.6264,68.0,91,85,3.6,overcast clouds
242,Takoradi,GH,4.8845,-1.7554,78.84,87,100,5.79,overcast clouds
243,Namatanai,PG,-3.6667,152.4333,84.42,65,97,9.46,overcast clouds
244,Greenville,US,35.6127,-77.3663,62.15,98,100,5.75,light intensity drizzle
245,Sterling,US,39.0062,-77.4286,66.2,93,100,3.44,overcast clouds
246,Valparaiso,CL,-33.0393,-71.6273,54.48,84,100,4.61,light rain
247,Eureka,US,40.8021,-124.1637,53.92,80,100,1.01,overcast clouds
248,Ayia Galini,GR,35.1,24.6833,61.84,59,25,1.39,scattered clouds
249,Bashtanka,UA,47.4072,32.4387,63.55,63,49,4.36,scattered clouds
250,Verkhoyansk,RU,67.5447,133.385,35.51,91,100,8.61,overcast clouds
251,George,ZA,-33.963,22.4617,56.75,72,75,3.44,broken clouds
252,Yichun,CN,47.7,128.9,54.37,27,88,4.27,overcast clouds
253,Hongjiang,CN,27.11,109.9956,63.1,98,100,2.48,overcast clouds
254,Nanortalik,GL,60.1432,-45.2371,31.71,90,100,0.87,light snow
255,Vestmannaeyjar,IS,63.4427,-20.2734,36.12,65,7,16.82,clear sky
256,Betsiamites,CA,48.9413,-68.646,61.2,63,94,7.29,overcast clouds
257,Corinth,GR,37.9407,22.9573,62.42,63,100,3.29,overcast clouds
258,Cabo San Lucas,MX,22.8909,-109.9124,81.61,57,44,1.99,scattered clouds
259,Honiara,SB,-9.4333,159.95,84.25,72,34,3.94,scattered clouds
260,Cayenne,GF,4.9333,-52.3333,80.1,1,75,5.99,broken clouds
261,Tessalit,ML,20.1986,1.0114,78.75,12,4,9.26,clear sky
262,West Lafayette,US,40.4259,-86.9081,71.82,52,0,1.99,clear sky
263,Thanjavur,IN,10.8,79.15,88.36,53,100,14.27,overcast clouds
264,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.9,84,90,7.78,overcast clouds
265,Lorengau,PG,-2.0226,147.2712,85.3,64,94,6.62,overcast clouds
266,Safranbolu,TR,41.2508,32.6942,56.16,55,1,2.95,clear sky
267,Dakar,SN,14.6937,-17.4441,72.48,87,81,10.11,broken clouds
268,Lampang,TH,18.3333,99.5,97.9,55,20,3.44,few clouds
269,Itarema,BR,-2.9248,-39.9167,76.5,91,58,8.81,broken clouds
270,Caibarien,CU,22.5206,-79.4669,74.52,76,16,9.62,few clouds
271,Khatanga,RU,71.9667,102.5,22.35,80,15,12.71,few clouds
272,Sitka,US,57.0531,-135.33,51.69,66,40,11.5,scattered clouds
273,Arrecife,ES,28.963,-13.5477,64.38,82,0,6.91,clear sky
274,Berlevag,NO,70.8578,29.0864,39.15,75,100,21.85,overcast clouds
275,Nome,US,64.5011,-165.4064,35.67,69,40,25.32,scattered clouds
276,Barsovo,RU,61.1667,73.1667,59.13,59,24,6.38,few clouds
